Time,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15
Kiddie,2,4,0,1,3,5,2,4,0,1,3,5,2,8,6,9,7,0,4,5,6,8,9,7,10,4,5,6,8,9,7,10,4,5
Dive,5,2,4,0,1,3,5,2,6,0,1,3,4,2,8,6,9,7,10,4,5,6,8,9,7,10,4,5,6,8,9,7,10,4
Main,3,5,2,4,0,1,3,5,2,6,0,1,3,4,2,8,6,9,7,10,4,5,6,8,9,7,10,4,5,6,8,9,7,10
Break,1,3,5,2,4,0,1,3,5,2,6,0,1,3,4,2,8,6,9,7,10,4,5,6,8,9,7,10,4,5,6,8,9,7
First Aid,0,1,3,5,2,4,0,1,3,5,2,6,0,1,3,4,2,8,6,9,7,10,4,5,6,8,9,7,10,4,5,6,8,9
Slide,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,1,3,4,2,8,6,9,7,10,4,5,6,8,9,7,10,4,5,-1,-1
Main2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,7,0,1,3,4,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rover,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lap,4,0,1,3,5,2,4,0,1,3,5,2,6,9,7,0,1,5,3,2,8,9,7,10,4,5,6,8,9,7,10,4,5,8
See Manager,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,9,7,0,1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bathroom Break,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
